"School Name","School URL","School Teams","Errors"
"Edgemont (NY)","https://hspf17.debatecoaches.org//Edgemont/","['Edgemont Kelly Kong - Yukiho Semimoto', 'Edgemont Jack Friedman - Alex Mandadjiev', 'Edgemont David Guo - Sid Nair', 'Edgemont Shyla Singh - Stanley Yang', 'Edgemont Edward Gu - Nikhil Malik', 'Edgemont Ani Bhaskara - Iris Lin', 'Edgemont Jacob Kang - Ibrahim Salimi', 'Edgemont Alex Lee - Samantha Richter', 'Edgemont Alex Lee - Stanley Yang']",""
"Edina (MN)","https://hspf17.debatecoaches.org//Edina/","['Edina David Ma - Richard Zhu']",""
"Edmond North (OK)","https://hspf17.debatecoaches.org//Edmond%20North/","[]","No debaters listed"
"Edmond Santa Fe (OK)","https://hspf17.debatecoaches.org//Edmond%20Santa%20Fe/","[]","No debaters listed"
"Eisenhower (KS)","https://hspf17.debatecoaches.org//Eisenhower/","[]","No debaters listed"
"El Cerrito (CA)","https://hspf17.debatecoaches.org//El%20Cerrito/","[]","No debaters listed"
"Elkins (TX)","https://hspf17.debatecoaches.org//Elkins/","[]","No debaters listed"
"Emporia (KS)","https://hspf17.debatecoaches.org//Emporia/","[]","No debaters listed"
"Encinitas Independent (CA)","https://hspf17.debatecoaches.org//Encinitas%20Independent/","[]","No debaters listed"
"ESD (TX)","https://hspf17.debatecoaches.org//ESD/","[]","No debaters listed"
"Evanston (IL)","https://hspf17.debatecoaches.org//Evanston/","[]","No debaters listed"
"Excel (MA)","https://hspf17.debatecoaches.org//Excel/","[]","No debaters listed"
"Fairmont Prep (CA)","https://hspf17.debatecoaches.org//Fairmont%20Prep/","[]","No debaters listed"
"Fairview (CO)","https://hspf17.debatecoaches.org//Fairview/","[]","No debaters listed"
"Fayetteville (AR)","https://hspf17.debatecoaches.org//Fayetteville/","[]","No debaters listed"
"Field Kindley (KS)","https://hspf17.debatecoaches.org//Field%20Kindley/","[]","No debaters listed"
"Flagstaff (AZ)","https://hspf17.debatecoaches.org//Flagstaff/","[]","No debaters listed"
